[PC 0] opcode 0x03, sp=0, max_stack=1
[PC 0] opcode 0xbb, sp=0, max_stack=4
[PC 3] opcode 0x59, sp=1, max_stack=4
[PC 4] opcode 0x03, sp=2, max_stack=4
[PC 0] opcode 0x2a, sp=0, max_stack=2
[PC 4] opcode 0x2a, sp=0, max_stack=2
[PC 5] opcode 0x1b, sp=1, max_stack=2
[PC 9] opcode 0x2b, sp=0, max_stack=4
[PC 11] opcode 0x04, sp=0, max_stack=4
[PC 13] opcode 0x1d, sp=0, max_stack=4
[PC 14] opcode 0x10, sp=1, max_stack=4
[PC 19] opcode 0x2c, sp=0, max_stack=4
[PC 20] opcode 0xbb, sp=1, max_stack=4
[PC 23] opcode 0x59, sp=2, max_stack=4
[PC 24] opcode 0x1d, sp=3, max_stack=4
[PC 0] opcode 0x2a, sp=0, max_stack=2
[PC 4] opcode 0x2a, sp=0, max_stack=2
[PC 5] opcode 0x1b, sp=1, max_stack=2
[PC 31] opcode 0x2c, sp=0, max_stack=4
[PC 32] opcode 0xb4, sp=0, max_stack=4
[PC 13] opcode 0x1d, sp=0, max_stack=4
[PC 14] opcode 0x10, sp=1, max_stack=4
[PC 19] opcode 0x2c, sp=0, max_stack=4
[PC 20] opcode 0xbb, sp=1, max_stack=4
[PC 23] opcode 0x59, sp=2, max_stack=4
[PC 24] opcode 0x1d, sp=3, max_stack=4
[PC 0] opcode 0x2a, sp=0, max_stack=2
[PC 4] opcode 0x2a, sp=0, max_stack=2
[PC 5] opcode 0x1b, sp=1, max_stack=2
[PC 31] opcode 0x2c, sp=0, max_stack=4
[PC 32] opcode 0xb4, sp=0, max_stack=4
[PC 13] opcode 0x1d, sp=0, max_stack=4
[PC 14] opcode 0x10, sp=1, max_stack=4
[PC 19] opcode 0x2c, sp=0, max_stack=4
[PC 20] opcode 0xbb, sp=1, max_stack=4
[PC 23] opcode 0x59, sp=2, max_stack=4
[PC 24] opcode 0x1d, sp=3, max_stack=4
[PC 0] opcode 0x2a, sp=0, max_stack=2
[PC 4] opcode 0x2a, sp=0, max_stack=2
[PC 5] opcode 0x1b, sp=1, max_stack=2
[PC 31] opcode 0x2c, sp=0, max_stack=4
[PC 32] opcode 0xb4, sp=0, max_stack=4
[PC 13] opcode 0x1d, sp=0, max_stack=4
[PC 14] opcode 0x10, sp=1, max_stack=4
[PC 19] opcode 0x2c, sp=0, max_stack=4
[PC 20] opcode 0xbb, sp=1, max_stack=4
